,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
19085,HOLCIM CEMENT,10,,http://echo.epa.gov/detailed-facility-report?fid=110000340408,39.6524,-77.6805
16674,"LIFOAM INDUSTRIES, LLC",9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110024888898,39.46865,-76.23527
7270,PHOENIX SERVICES,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110019893828,39.202419,-76.557226
27230,DIAGEO NORTH AMERICA,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000764290,39.22457,-76.69794
21039,DICKERSON GENERATING STATION,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000339303,39.207304,-77.464762
23595,PLYMOUTH TUBE COMPANY,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000340630,38.3968,-75.5895
16673,LUKE PAPER CO,5,,http://echo.epa.gov/detailed-facility-report?fid=110007334072,39.47206,-79.057645
9433,C P CRANE GENERATING STATION,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000339713,39.324937,-76.36464000000002
735,PERRYMAN GENERATING STATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110000499559,39.4422,-76.2208
1644,NAVAL SUPPORT ACTIVITY BETHESDA,4,,http://echo.epa.gov/detailed-facility-report?fid=110000796121,39.000798,-77.094409
5129,PSEG KEYS ENERGY CENTER,4,,http://echo.epa.gov/detailed-facility-report?fid=110070208824,38.695485,-76.828091
35060,"NEW NGC, INC. DBA NATIONAL GYPSUM COMPANY",4,,http://echo.epa.gov/detailed-facility-report?fid=110001251797,39.26357,-76.55525
2457,GSA - WHITE OAK RESEARCH CENTER,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110019871655,39.03351,-76.98601
34643,AMERICAN YEAST,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013980362,39.275947,-76.464104
18528,US ARMY FORT DETRICK,3,,http://echo.epa.gov/detailed-facility-report?fid=110019861568,39.434442,-77.44676899999997
24411,"METTIKI COAL, LLC",3,,http://echo.epa.gov/detailed-facility-report?fid=110006039054,39.26178,-79.42836
34052,"CCL INSERTCO, LLC",3,,http://echo.epa.gov/detailed-facility-report?fid=110001838478,39.27071,-76.53227
987,PERDUE SALISBURY ZION CHURCH ROAD FEED & GRAIN,2,,http://echo.epa.gov/detailed-facility-report?fid=110009684010,38.38255,-75.52614
2060,AES WARRIOR RUN COGENERATION FACILITY,2,,http://echo.epa.gov/detailed-facility-report?fid=110000551055,39.599143,-78.746453
12573,"VAC PAC, INC",2,,http://echo.epa.gov/detailed-facility-report?fid=110066863629,39.34877,-76.45056
